Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round
CB,69,179,4.51,35.0,11.0,115.0,7.21,4.27,6
RB,72,195,4.68,32.5,,118.0,7.05,4.24,8
CB,73,213,4.61,38.5,14.0,118.0,6.96,4.53,8
WR,73,218,4.62,37.5,,124.0,6.91,4.09,3
RB,71,193,4.5,,,,,,5
RB,71,222,4.52,,,,,,8
OT,76,332,5.26,29.0,28.0,97.0,7.78,4.72,2
WR,71,180,4.59,36.0,,123.0,7.22,4.16,6
S,70,206,4.72,31.5,15.0,108.0,7.15,4.65,4
DT,75,282,4.9,30.5,,111.0,7.22,4.25,4
OLB,74,245,4.56,,11.0,,,,4
DT,74,290,5.21,30.5,23.0,109.0,,,6
RB,71,216,4.84,29.5,15.0,112.0,7.15,4.41,8
QB,75,229,4.91,34.0,,108.0,7.71,4.59,6
WR,75,191,4.53,33.0,,130.0,7.09,4.18,8
DE,74,278,4.94,29.5,27.0,106.0,7.2,4.47,5
OLB,71,219,4.82,,24.0,104.0,,,7
S,72,210,4.55,,,,,,5
OLB,72,238,4.65,,25.0,,,,3
RB,69,194,4.62,31.0,15.0,111.0,,,8
P,75,246,,,,,,,8
CB,70,192,4.44,39.5,14.0,121.0,6.78,3.9,1
WR,74,184,4.57,34.5,,115.0,,,5
S,72,211,4.46,,31.0,,,,1
OG,78,293,5.11,33.5,20.0,109.0,7.4,4.3,8
TE,76,255,4.76,33.0,22.0,106.0,7.12,4.19,5
OT,77,310,5.37,27.0,25.0,99.0,8.27,4.67,1
DE,75,283,5.1,,,,,,6
P,73,198,,,,,,,8
WR,77,201,4.47,30.5,,110.0,,,5
RB,73,235,4.56,,,,,,3
S,74,206,4.56,40.0,22.0,126.0,7.14,4.2,2
CB,74,204,4.53,37.5,,122.0,7.39,4.21,2
QB,72,227,4.85,29.5,,102.0,7.55,4.38,8
DE,76,270,4.83,34.5,25.0,110.0,7.32,4.28,4
ILB,73,234,4.64,38.5,24.0,124.0,7.25,4.5,2
DT,73,319,5.32,,17.0,98.0,8.07,4.71,4
RB,69,207,4.38,39.5,13.0,130.0,,,1
WR,71,191,4.43,39.5,,122.0,6.78,4.08,5
S,70,217,4.6,,22.0,,,,3
FB,70,255,4.97,33.5,32.0,108.0,7.81,4.38,8
S,72,205,4.74,35.5,,115.0,7.14,4.2,8
CB,71,210,4.54,37.0,17.0,121.0,7.03,4.28,7
DT,75,316,4.93,,,,,,3
S,73,209,4.56,,,,,,8
RB,70,194,4.36,35.5,18.0,119.0,7.05,4.09,5
OG,76,290,5.28,31.0,19.0,106.0,7.81,4.89,8
CB,69,193,4.65,,,,,,8
QB,74,221,4.9,29.5,,105.0,7.54,4.48,6
OG,79,332,5.05,30.5,25.0,107.0,8.08,4.83,8
DE,76,270,4.75,36.5,26.0,119.0,6.82,4.08,2
S,71,207,4.59,32.5,,117.0,7.29,4.24,3
OLB,73,243,4.67,34.0,19.0,116.0,7.16,4.28,8
QB,72,213,4.83,32.0,,105.0,7.09,4.21,2
TE,76,255,4.73,36.0,14.0,117.0,7.37,4.18,3
OT,77,329,5.33,,30.0,,,,3
WR,72,202,4.63,39.5,,126.0,,,8
CB,71,190,4.65,37.5,10.0,117.0,7.5,4.15,8
RB,72,226,4.53,40.0,11.0,123.0,7.08,4.06,4
DE,74,264,4.92,40.0,24.0,125.0,7.85,,3
WR,70,191,4.63,,,,,,8
CB,70,173,4.57,36.0,11.0,121.0,7.22,4.4,5
DT,73,268,4.93,,,,,,8
WR,71,177,4.39,36.5,,126.0,,,7
S,72,212,4.63,,,,,,8
TE,76,246,4.9,36.0,16.0,115.0,7.52,4.21,8
S,72,214,4.59,34.0,21.0,106.0,7.14,4.18,7
DE,76,249,4.84,38.5,20.0,132.0,,4.24,1
