number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_learning_rate,params_n_a,params_n_d,params_n_steps,state
80,0.38153871083486696,2025-04-28 09:26:14.200703,2025-04-28 09:30:16.712309,0 days 00:04:02.511606,32,1.519281013726681,0.00029847209203826057,0.00429635364452938,64,47,3,COMPLETE
81,0.38282833894695417,2025-04-28 09:30:16.712537,2025-04-28 09:35:05.233358,0 days 00:04:48.520821,32,1.565283367179735,0.00016826542192711035,0.008763874324058825,44,45,3,COMPLETE
82,0.3811092977765431,2025-04-28 09:35:05.233596,2025-04-28 09:39:01.285349,0 days 00:03:56.051753,32,1.5513916229701594,0.00017359749721126757,0.009713809992308914,42,42,3,COMPLETE
83,0.3815370904082317,2025-04-28 09:39:01.285582,2025-04-28 09:43:12.007344,0 days 00:04:10.721762,32,1.4597427025107428,0.0002483067726427294,0.007506820940586632,47,44,3,COMPLETE
84,0.3817526071507113,2025-04-28 09:43:12.007581,2025-04-28 09:46:54.863646,0 days 00:03:42.856065,32,1.617598601828733,0.007721639029506254,0.006312017085498767,37,46,3,COMPLETE
85,0.3828283389469541,2025-04-28 09:46:54.863877,2025-04-28 09:50:27.927572,0 days 00:03:33.063695,32,1.1542387669178273,0.0001368566675957447,0.008844221698872333,54,49,3,COMPLETE
86,0.3789543618412677,2025-04-28 09:50:27.927804,2025-04-28 09:52:26.948310,0 days 00:01:59.020506,64,1.3453709003562244,0.005632144384952953,0.00691246045115987,41,52,3,COMPLETE
87,0.3718538838154103,2025-04-28 09:52:26.948543,2025-04-28 09:52:54.903170,0 days 00:00:27.954627,256,1.3940304728160664,0.0004268022833657638,0.005955788106759998,60,48,3,COMPLETE
88,0.3798161973216662,2025-04-28 09:52:54.903395,2025-04-28 09:56:49.802730,0 days 00:03:54.899335,32,1.428044205536045,0.00019531044981389327,0.009973979501641533,48,55,3,COMPLETE
89,0.38239823142007245,2025-04-28 09:56:49.802968,2025-04-28 10:00:41.546855,0 days 00:03:51.743887,32,1.5915038984273713,0.000130082082360852,0.005031279744386874,45,43,3,COMPLETE
90,0.37701702605414533,2025-04-28 10:00:41.547110,2025-04-28 10:04:28.604642,0 days 00:03:47.057532,32,1.2600340997923385,0.0012978122963508848,0.008285678507055201,35,60,4,COMPLETE
91,0.37400418996029955,2025-04-28 10:04:28.604873,2025-04-28 10:08:30.941903,0 days 00:04:02.337030,32,1.9240118819273526,0.001553604039117805,0.0012445467327808308,45,46,3,COMPLETE
92,0.38153917381390556,2025-04-28 10:08:30.942128,2025-04-28 10:12:36.217489,0 days 00:04:05.275361,32,1.222734128044304,0.001077971656422512,0.009056286209723794,43,41,3,COMPLETE
93,0.3813215736657523,2025-04-28 10:12:36.217719,2025-04-28 10:16:40.312388,0 days 00:04:04.094669,32,1.172889502821188,0.006821296874698826,0.007423172670635977,38,50,3,COMPLETE
94,0.3800333344907809,2025-04-28 10:16:40.312625,2025-04-28 10:20:27.038584,0 days 00:03:46.725959,32,1.3700379268223906,0.0009453488559634464,0.007932803707489616,46,62,3,COMPLETE
95,0.3806759493963911,2025-04-28 10:20:27.038819,2025-04-28 10:24:19.732030,0 days 00:03:52.693211,32,1.3074397111574354,0.003239108782589736,0.0067106608473534845,48,44,3,COMPLETE
96,0.37809368380846564,2025-04-28 10:24:19.732258,2025-04-28 10:25:11.368943,0 days 00:00:51.636685,128,1.3461679542550207,0.0003368773836949818,0.005674803936508599,41,15,3,COMPLETE
97,0.38067687535446837,2025-04-28 10:25:11.369175,2025-04-28 10:28:26.153102,0 days 00:03:14.783927,32,1.1198896357314123,0.0007477198883733828,0.009353489327652783,52,35,3,COMPLETE
98,0.38067826429158413,2025-04-28 10:28:26.153337,2025-04-28 10:33:45.095198,0 days 00:05:18.941861,32,1.0464787195749468,0.0014150605175547756,0.006887164661634183,44,47,5,COMPLETE
99,0.3839033762746391,2025-04-28 10:33:45.095435,2025-04-28 10:38:09.385496,0 days 00:04:24.290061,32,1.2006311210165979,0.0018530031991469535,0.008037446300626009,50,39,3,COMPLETE
