number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout1,params_dropout2,params_learning_rate,params_units_layer1,params_units_layer2,state
67,0.5244191229343415,2025-04-27 22:35:16.154339,2025-04-27 22:35:27.605118,0 days 00:00:11.450779,64,0.19298884877347044,0.22311307221148552,0.00977513779709881,136,77,COMPLETE
68,0.5431445598602295,2025-04-27 22:35:27.605351,2025-04-27 22:35:49.043147,0 days 00:00:21.437796,64,0.2096264415725452,0.2777397979553063,0.0013776046989054744,227,66,COMPLETE
69,0.545725429058075,2025-04-27 22:35:49.043377,2025-04-27 22:36:15.481361,0 days 00:00:26.437984,64,0.19873302511717117,0.3770308427123933,0.000763713255440339,246,54,COMPLETE
70,0.544652009010315,2025-04-27 22:36:15.481596,2025-04-27 22:36:35.305569,0 days 00:00:19.823973,128,0.2506248030806378,0.3565238224793578,0.0010967728755416689,191,73,COMPLETE
71,0.5487394332885742,2025-04-27 22:36:35.305810,2025-04-27 22:37:01.781917,0 days 00:00:26.476107,64,0.22330448663732097,0.30848640557253415,0.0007330756756787419,256,84,COMPLETE
72,0.5452948689460755,2025-04-27 22:37:01.782165,2025-04-27 22:37:22.551127,0 days 00:00:20.768962,64,0.22274630045244512,0.30641577514861784,0.0016241828366421742,238,85,COMPLETE
73,0.5495994091033936,2025-04-27 22:37:22.551366,2025-04-27 22:37:52.223235,0 days 00:00:29.671869,64,0.23593221620815027,0.3050968785104308,0.0009214206303934373,249,79,COMPLETE
74,0.5452953338623047,2025-04-27 22:37:52.223502,2025-04-27 22:38:19.205487,0 days 00:00:26.981985,64,0.21471738741287422,0.30256491663970864,0.0009126022162914334,250,79,COMPLETE
75,0.5498183965682983,2025-04-27 22:38:19.205758,2025-04-27 22:38:47.205122,0 days 00:00:27.999364,64,0.17031458669681987,0.32604090392187624,0.0007244856090396185,246,86,COMPLETE
76,0.5459407210350037,2025-04-27 22:38:47.205391,2025-04-27 22:39:16.142053,0 days 00:00:28.936662,64,0.17117494723022778,0.32561317233179077,0.0005564498706930256,247,93,COMPLETE
77,0.5455117702484131,2025-04-27 22:39:16.142341,2025-04-27 22:39:42.517572,0 days 00:00:26.375231,64,0.1458487713309542,0.35667012429699313,0.0007552516839194588,233,89,COMPLETE
78,0.5448642849922181,2025-04-27 22:39:42.517839,2025-04-27 22:40:38.567567,0 days 00:00:56.049728,16,0.12859697565386918,0.33554789265428603,0.0004925414249597056,114,84,COMPLETE
79,0.5478782892227173,2025-04-27 22:40:38.567802,2025-04-27 22:41:06.805685,0 days 00:00:28.237883,64,0.23121036910741039,0.3196877169116972,0.00067945185431606,236,87,COMPLETE
80,0.5448659181594848,2025-04-27 22:41:06.805922,2025-04-27 22:41:33.921359,0 days 00:00:27.115437,64,0.22925387268987238,0.32203417071958423,0.0006970596742272915,216,81,COMPLETE
81,0.5455115437507629,2025-04-27 22:41:33.921591,2025-04-27 22:42:02.094227,0 days 00:00:28.172636,64,0.2029204853477475,0.311454669878359,0.0005974712800727864,242,86,COMPLETE
82,0.5470164537429809,2025-04-27 22:42:02.094487,2025-04-27 22:42:29.485429,0 days 00:00:27.390942,64,0.16152043638058375,0.3404691732730694,0.0008619608392584196,237,95,COMPLETE
83,0.5478775978088379,2025-04-27 22:42:29.485668,2025-04-27 22:42:53.635831,0 days 00:00:24.150163,64,0.1670572374985213,0.3419181630687799,0.0009269222829953951,237,89,COMPLETE
84,0.5448665976524353,2025-04-27 22:42:53.636063,2025-04-27 22:43:15.972764,0 days 00:00:22.336701,64,0.17898093611311827,0.40515308758759966,0.0012939819858310392,226,88,COMPLETE
85,0.5233473420143128,2025-04-27 22:43:15.972999,2025-04-27 22:43:55.835348,0 days 00:00:39.862349,32,0.16630671259484744,0.2947975515122261,0.0001017366063490178,248,78,COMPLETE
86,0.5450809717178344,2025-04-27 22:43:55.835590,2025-04-27 22:44:21.327107,0 days 00:00:25.491517,64,0.19796513764590706,0.3232892495465573,0.0009610418119799857,230,75,COMPLETE
87,0.5405629992485046,2025-04-27 22:44:21.327342,2025-04-27 22:44:51.238864,0 days 00:00:29.911522,64,0.13492543328126635,0.365555494765623,0.0004065047184503892,220,83,COMPLETE
88,0.546586561203003,2025-04-27 22:44:51.239148,2025-04-27 22:45:20.241175,0 days 00:00:29.002027,64,0.24174655463120379,0.35011936248855197,0.0007423966797251117,211,93,COMPLETE
89,0.5437888026237487,2025-04-27 22:45:20.241447,2025-04-27 22:45:48.351475,0 days 00:00:28.110028,64,0.18437243899512837,0.3800917527572387,0.0006239900248886014,243,62,COMPLETE
90,0.5493841290473938,2025-04-27 22:45:48.351761,2025-04-27 22:46:15.970863,0 days 00:00:27.619102,64,0.21400576654701364,0.3372823046788321,0.0008680582207322409,256,97,COMPLETE
91,0.548309075832367,2025-04-27 22:46:15.971152,2025-04-27 22:46:41.841374,0 days 00:00:25.870222,64,0.21450608303234206,0.31754055587233676,0.0008556079397537632,253,96,COMPLETE
92,0.5483090877532959,2025-04-27 22:46:41.841637,2025-04-27 22:47:09.833498,0 days 00:00:27.991861,64,0.21155461070862697,0.3019861964786756,0.0008221547872090743,252,98,COMPLETE
93,0.5472326636314392,2025-04-27 22:47:09.833756,2025-04-27 22:47:37.091288,0 days 00:00:27.257532,64,0.21486694719314717,0.30622932716154655,0.0008715526195281773,256,97,COMPLETE
94,0.5437897086143494,2025-04-27 22:47:37.091537,2025-04-27 22:48:06.101906,0 days 00:00:29.010369,64,0.19646664794672047,0.3175051831047456,0.0005717190890313811,251,89,COMPLETE
95,0.5470190048217773,2025-04-27 22:48:06.102300,2025-04-27 22:48:35.348745,0 days 00:00:29.246445,64,0.20794443591605327,0.29466665850208007,0.0006763677023534311,250,102,COMPLETE
96,0.5489519357681274,2025-04-27 22:48:35.348976,2025-04-27 22:49:03.435049,0 days 00:00:28.086073,64,0.17419261475549114,0.33350118686449054,0.0008315097659342155,236,97,COMPLETE
97,0.5476627707481384,2025-04-27 22:49:03.435284,2025-04-27 22:49:32.704537,0 days 00:00:29.269253,64,0.2275084454492923,0.33059918985379505,0.0008258303553778293,245,106,COMPLETE
98,0.5444353461265564,2025-04-27 22:49:32.704872,2025-04-27 22:49:54.205100,0 days 00:00:21.500228,128,0.15592346530385948,0.3174324434984052,0.0007080354144932333,252,98,COMPLETE
99,0.5435748934745789,2025-04-27 22:49:54.205333,2025-04-27 22:50:22.795481,0 days 00:00:28.590148,64,0.18485430577093925,0.30250926734067063,0.0004915651630781521,236,91,COMPLETE
