number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout1,params_dropout2,params_learning_rate,params_units_layer1,params_units_layer2,state
78,0.38433602452278137,2025-04-27 23:26:43.958432,2025-04-27 23:27:08.710248,0 days 00:00:24.751816,64,0.4022177265725854,0.15904749472764088,0.00041135906786146523,78,121,COMPLETE
79,0.38390523195266724,2025-04-27 23:27:08.710514,2025-04-27 23:27:43.990514,0 days 00:00:35.280000,32,0.3701832387928568,0.2795056393562164,0.00013366782506168788,104,59,COMPLETE
80,0.38433464169502257,2025-04-27 23:27:43.990779,2025-04-27 23:28:19.617618,0 days 00:00:35.626839,16,0.32620888812701865,0.17743102262038357,0.0007565681019443848,42,62,COMPLETE
81,0.38648887872695925,2025-04-27 23:28:19.617867,2025-04-27 23:28:52.676339,0 days 00:00:33.058472,32,0.3563394669851068,0.4774574853203926,0.00045608565784903665,159,29,COMPLETE
82,0.3851960122585297,2025-04-27 23:28:52.676589,2025-04-27 23:29:26.201242,0 days 00:00:33.524653,32,0.3510378651762258,0.4886660244429562,0.0005120014321372345,103,21,COMPLETE
83,0.38541176319122317,2025-04-27 23:29:26.201476,2025-04-27 23:30:00.082505,0 days 00:00:33.881029,32,0.34103454375155573,0.4596216881008103,0.0003447950395272765,114,32,COMPLETE
84,0.3862722098827362,2025-04-27 23:30:00.082742,2025-04-27 23:30:32.883413,0 days 00:00:32.800671,32,0.3847435331153836,0.4990271534198507,0.0005827101322094734,68,27,COMPLETE
85,0.38584163784980774,2025-04-27 23:30:32.883652,2025-04-27 23:30:54.932410,0 days 00:00:22.048758,32,0.30269743157588896,0.48041626192135445,0.0011776824764855355,121,37,COMPLETE
86,0.3593712687492371,2025-04-27 23:30:54.932692,2025-04-27 23:31:12.751166,0 days 00:00:17.818474,128,0.3610971154922786,0.43662862616502285,0.00024738075398188567,59,18,COMPLETE
87,0.3841202795505524,2025-04-27 23:31:12.751407,2025-04-27 23:31:43.287150,0 days 00:00:30.535743,32,0.3933004109129645,0.47171603048985006,0.0006534838160606538,88,34,COMPLETE
88,0.3867018520832062,2025-04-27 23:31:43.287387,2025-04-27 23:31:56.267640,0 days 00:00:12.980253,64,0.14895055845995525,0.3712081180881023,0.0017639971514642355,136,43,COMPLETE
89,0.38476613759994505,2025-04-27 23:31:56.267884,2025-04-27 23:32:18.443137,0 days 00:00:22.175253,32,0.3198351005769969,0.44868861347938627,0.0015163987747907847,200,23,COMPLETE
90,0.3849807262420654,2025-04-27 23:32:18.443369,2025-04-27 23:32:54.071719,0 days 00:00:35.628350,16,0.27253036974182754,0.24642838363431802,0.0008903846372862928,37,47,COMPLETE
91,0.384336256980896,2025-04-27 23:32:54.071955,2025-04-27 23:33:25.898317,0 days 00:00:31.826362,32,0.33606070939543564,0.13117712507610413,0.0005134988779058278,53,54,COMPLETE
92,0.3851973950862885,2025-04-27 23:33:25.898661,2025-04-27 23:33:56.734012,0 days 00:00:30.835351,32,0.35169852634692056,0.13956936409627627,0.000458843077157622,75,50,COMPLETE
93,0.38562612533569335,2025-04-27 23:33:56.734254,2025-04-27 23:34:16.287435,0 days 00:00:19.553181,32,0.37463221995944473,0.10994497120139936,0.0010852939936853174,58,74,COMPLETE
94,0.3843351066112518,2025-04-27 23:34:16.287667,2025-04-27 23:34:48.238049,0 days 00:00:31.950382,32,0.31668583758966473,0.1198047403182102,0.00035772738562349154,99,40,COMPLETE
95,0.3819681227207184,2025-04-27 23:34:48.238299,2025-04-27 23:35:09.985546,0 days 00:00:21.747247,32,0.10376894902911757,0.19289799514940587,0.0006199898295378476,47,65,COMPLETE
96,0.3836915612220764,2025-04-27 23:35:09.985780,2025-04-27 23:35:59.234392,0 days 00:00:49.248612,16,0.33049986118607455,0.12520460823346333,0.0003009447577553829,66,43,COMPLETE
97,0.3860566854476929,2025-04-27 23:35:59.234624,2025-04-27 23:36:21.285438,0 days 00:00:22.050814,32,0.3444111967774989,0.15569877274761387,0.0005543644103841958,83,87,COMPLETE
98,0.3832607626914978,2025-04-27 23:36:21.285672,2025-04-27 23:36:44.360730,0 days 00:00:23.075058,64,0.28841863364749915,0.17115950876599562,0.00040870322203959933,55,70,COMPLETE
99,0.3856277406215668,2025-04-27 23:36:44.360967,2025-04-27 23:37:24.130437,0 days 00:00:39.769470,16,0.3851935360231243,0.4647101187756232,0.0009592129563846962,110,36,COMPLETE
