number,value,datetime_start,datetime_complete,duration,params_knn_weight,params_nn_weight,params_rf_weight,params_tabnet_weight,state
77,0.5344234079173839,2025-04-28 23:03:39.105761,2025-04-28 23:03:39.129386,0 days 00:00:00.023625,0.0736550010435739,0.8667855505362079,0.8423123920459175,0.5090481103845516,COMPLETE
78,0.5232358003442341,2025-04-28 23:03:39.129604,2025-04-28 23:03:39.153162,0 days 00:00:00.023558,0.14365201714594272,0.9693628434723016,0.18785456555353142,0.5644140793327688,COMPLETE
79,0.5378657487091222,2025-04-28 23:03:39.153385,2025-04-28 23:03:39.177213,0 days 00:00:00.023828,0.0019918630817749514,0.8301904096069206,0.5516290180055885,0.4583825342020586,COMPLETE
80,0.5309810671256454,2025-04-28 23:03:39.177433,2025-04-28 23:03:39.200996,0 days 00:00:00.023563,0.09458219659783167,0.7834006479987591,0.8074337829338883,0.6380765140464544,COMPLETE
81,0.5378657487091222,2025-04-28 23:03:39.201217,2025-04-28 23:03:39.224887,0 days 00:00:00.023670,0.2242112359336784,0.9760920930638254,0.6515822787781063,0.6639536023809206,COMPLETE
82,0.5378657487091222,2025-04-28 23:03:39.225106,2025-04-28 23:03:39.248809,0 days 00:00:00.023703,0.17733523118514438,0.9070150356409103,0.6053787398829147,0.7205847607009279,COMPLETE
83,0.5378657487091222,2025-04-28 23:03:39.249031,2025-04-28 23:03:39.272951,0 days 00:00:00.023920,0.03256338836916923,0.9988396373310453,0.6500719250977989,0.7625447607799533,COMPLETE
84,0.5335628227194492,2025-04-28 23:03:39.273190,2025-04-28 23:03:39.297081,0 days 00:00:00.023891,0.2923936422131932,0.9456014445598299,0.7619661049339626,0.6871587824241232,COMPLETE
85,0.5370051635111877,2025-04-28 23:03:39.297308,2025-04-28 23:03:39.321773,0 days 00:00:00.024465,0.20662367642285312,0.9269785406496162,0.478356803753185,0.5969599067438661,COMPLETE
86,0.5378657487091222,2025-04-28 23:03:39.321999,2025-04-28 23:03:39.346028,0 days 00:00:00.024029,0.15149431213340414,0.9677044948399031,0.6843766518993761,0.633829738458795,COMPLETE
87,0.5327022375215146,2025-04-28 23:03:39.346264,2025-04-28 23:03:39.370276,0 days 00:00:00.024012,0.5053310293230564,0.8797061117279545,0.5224460750605445,0.5489054969389638,COMPLETE
88,0.5378657487091222,2025-04-28 23:03:39.370527,2025-04-28 23:03:39.394930,0 days 00:00:00.024403,0.05992350598981579,0.9044024666024902,0.6223459237072729,0.6646286712607141,COMPLETE
89,0.5370051635111877,2025-04-28 23:03:39.395154,2025-04-28 23:03:39.419619,0 days 00:00:00.024465,0.12551027967084954,0.9505093429240338,0.5843657279135,0.4252279511657395,COMPLETE
