number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_learning_rate,params_n_a,params_n_d,params_n_steps,state
67,0.5379811799020799,2025-04-28 03:02:37.837943,2025-04-28 03:08:09.032506,0 days 00:05:31.194563,32,1.5205103687676793,0.00043078282968670464,0.002681877663284917,61,25,4,COMPLETE
68,0.4353313193745153,2025-04-28 03:08:09.032728,2025-04-28 03:14:05.180242,0 days 00:05:56.147514,32,1.4148617546347024,0.0008034988597007764,0.00014768258356660959,53,22,4,COMPLETE
69,0.530018866395824,2025-04-28 03:14:05.180471,2025-04-28 03:19:59.719190,0 days 00:05:54.538719,32,1.3796026324051356,0.00024679536688389844,0.0009642032446989557,59,28,4,COMPLETE
70,0.5345343009595241,2025-04-28 03:19:59.719420,2025-04-28 03:21:06.636983,0 days 00:01:06.917563,128,1.2739837589097327,0.00015583563702247345,0.0031144713722379737,64,31,4,COMPLETE
71,0.5416384828176904,2025-04-28 03:21:06.637204,2025-04-28 03:26:21.705045,0 days 00:05:15.067841,32,1.5681872491343627,0.00047088745020833493,0.004209239755849709,64,27,4,COMPLETE
72,0.5461553063185065,2025-04-28 03:26:21.705278,2025-04-28 03:31:07.996679,0 days 00:04:46.291401,32,1.4511888875786674,0.00036052587829359784,0.004997435212777072,62,17,4,COMPLETE
73,0.5371170295264881,2025-04-28 03:31:07.996913,2025-04-28 03:36:45.674027,0 days 00:05:37.677114,32,1.4589839109630431,0.0003770619368009071,0.0019501368940999116,62,19,4,COMPLETE
74,0.5390522819079366,2025-04-28 03:36:45.674258,2025-04-28 03:41:54.268861,0 days 00:05:08.594603,32,1.650762508469836,0.0012344181739629755,0.005003768336091369,60,17,4,COMPLETE
75,0.5369038276792019,2025-04-28 03:41:54.269105,2025-04-28 03:46:41.855132,0 days 00:04:47.586027,32,1.6002459646010097,0.00031956485073138333,0.0034612453719957996,55,8,4,COMPLETE
76,0.5259265946734262,2025-04-28 03:46:41.855357,2025-04-28 03:47:31.768673,0 days 00:00:49.913316,256,1.5291246386507775,0.0006609428390337177,0.0025212636557978858,61,25,4,COMPLETE
77,0.5310911258492771,2025-04-28 03:47:31.768901,2025-04-28 03:52:15.589294,0 days 00:04:43.820393,32,1.4879944035135682,0.0002668111651244504,0.004050853854566057,59,34,4,COMPLETE
78,0.5345403196870262,2025-04-28 03:52:15.589528,2025-04-28 03:58:11.651279,0 days 00:05:56.061751,32,1.4427363362631334,0.0003851620298242641,0.0012940708906861156,63,17,4,COMPLETE
79,0.5379807169230414,2025-04-28 03:58:11.651514,2025-04-28 04:02:06.752146,0 days 00:03:55.100632,32,1.3772857771488114,0.0008614746942911334,0.002904264885450934,57,23,3,COMPLETE
80,0.5078484206627546,2025-04-28 04:02:06.752369,2025-04-28 04:03:40.698355,0 days 00:01:33.945986,128,1.6303984126497086,0.0010866770288881847,0.0007599075431589499,55,38,4,COMPLETE
81,0.5414211141590565,2025-04-28 04:03:40.698580,2025-04-28 04:08:50.728145,0 days 00:05:10.029565,32,1.5522070840396303,0.0005164082552711165,0.004826054418479571,64,27,4,COMPLETE
82,0.5386233318286514,2025-04-28 04:08:50.728370,2025-04-28 04:13:37.717342,0 days 00:04:46.988972,32,1.5822589085860062,0.0004280238618805353,0.004572747128320686,60,29,4,COMPLETE
